Rank,Country,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
108,China,东北林业大学,取队名真累,4,273,+1(34),,,+1(44),,,,+1(9),,,,+1(186),-2
109,China,福建师范大学,下次吧，下次一定AC,4,286,+1(14),,,+1(40),,,,+1(5),,,-3,+4(167),
110,China,天津大学,全靠学弟带,4,287,+4(40),,,+1(49),,,,+1(11),,,-2,+1(127),
111,China,西北大学,来三份烤面包片一份要蜂蜜一份不要蜂蜜还有一份不要面包片,4,292,+1(36),,,+3(71),,,,+1(10),,,-3,+4(75),-24
111,China,南京理工大学,草莓果冻,4,292,+3(66),-1,,+1(51),,,,+1(10),,,-1,+1(125),
113,China,南开大学,这是个队名,4,293,+2(21),,,+2(43),,,,+1(20),,,-5,+1(169),
114,China,东北农业大学,滑稽拿金了,4,294,+2(56),,,+1(61),,,,+1(11),,,-4,+2(126),
115,China,杭州师范大学,兄弟们好起来了,4,299,+1(16),-3,,+2(46),,,,+1(8),,,,+5(129),-7
116,China,深圳大学,魔法暴力AC队,4,304,+1(18),-2,,+2(59),-17,,,+1(7),,,,+2(180),
117,China,东北师范大学,细胞色素,4,310,+1(19),,,+1(43),,,,+1(6),,,-1,+2(222),
118,China,西北工业大学,懒羊羊喝一杯小汤圆,4,319,+2(73),,,+1(47),,,,+1(12),,,,+1(167),-1
118,China,国防科技大学,ALPC_作风优良,4,319,+1(10),,,+2(35),,,,+1(8),,,,+3(206),-1
120,China,广东工业大学,闪光六连,4,320,+3(52),,,+1(70),,,,+1(8),,,-2,+3(110),
121,China,东北大学秦皇岛分校,NEUQ-听取WA声一片,4,324,+1(21),,,+1(54),,,,+1(6),,,,+3(203),-2
122,China,湖南大学,Invoker,4,331,+1(36),,,+1(56),,,,+1(6),,,-3,+3(193),
122,China,南开大学,贝塔猫,4,331,+1(8),,,+1(17),,,,+1(12),,,,+6(194),-10
124,China,深圳大学,鲲背上踢毽子,4,336,+1(15),,,+1(32),-5,,,+1(7),,,,+5(202),
