Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,Dirt,Medal,Member1,Member2,Member3,Coaches,Unofficial,Girl
99,95,中南林业科技大学,threenoobs,1,12,-,-,-,-,-,-,-,+1(12),-,-1,-3,-,0%,Honorable,Junjie Xiao,孙齐政,何文杰,Zhufang Kuang ,N,N
100,96,宁波工程学院,Zutto Acceptednakade Iinoni.,1,13,-,-,-,-,-,-,-,+1(13),-,-,-4,-,0%,Honorable,郑坚淳,叶徳坚,陈南丞,Jianghua Xuan ,N,N
100,96,北京工业大学,robust driver,1,13,-,-,-,-,-,-,-,+1(13),-,-,-5,-,0%,Honorable,陈镇岳,齐相龙,张晋赫,Hongyu Gao ,N,N
102,98,福建师范大学,Mooncross in Mistweave,1,15,-,-,-,-,-,-,-,+1(15),-,-8,-,-,0%,Honorable,Shengmo Ouyang,徐大淦,周傲宇,Ruliang Xiao ,N,N
103,99,哈尔滨工业大学威海,Be AKed by ICPC,1,18,-,-,-,-,-,-,-,+1(18),-,-1,-9,-,0%,Honorable,李博文,崔彦宇,刘佳豪,Kaikun Dong ,N,N
104,100,广东工业大学揭阳校区,ios::sync_with_think(false),1,19,-,-,-,-,-,-,-,+1(19),-,-2,-4,-,0%,Honorable,陈智谦,陈锦涛,宋阳,Hongshu Li ,N,N
105,101,西南大学,SleepToAC,1,20,-,-,-,-,-,-,-,+1(20),-,-,-16,-,0%,Honorable,刘子毅,周佰涛,杨竣胜,Xianfeng Han ,N,N
105,101,五邑大学,The Doctor's team and there ape-man captain,1,20,-,-,-,-,-,-,-,+1(20),-,-,-2,-,0%,Honorable,冯凯翔,李晟熙,黄达聪,Zhu Wang ,N,N
107,103,河南师范大学,Little sheep,1,21,-,-,-,-,-,-,-,+1(21),-,-1,-4,-,0%,Honorable,闫浩文,谢添点,阴珂珂,Wenfeng Li ,N,N
108,104,太原理工大学,Truly miracle algorithms but no space to write,1,28,-,-7,-,-,-,-,-,+2(8),-,-,-5,-,50%,Honorable,许星宇,荀思杰,王振琛,Fuping Lin ,N,N
109,105,澳门城市大学,SILVER MINER PRO,1,30,-,-,-,-,-,-,-,+1(30),-,-2,-2,-,0%,Honorable,Muhan Hao,Mingxu Zhu,Fangyuan Jian,Sanshuai Cui ,N,N
110,106,上海海洋大学,Carrot,1,31,-,-,-,-,-,-,-,+2(11),-,-3,-3,-,50%,Honorable,周子恒,周郁涵,吕天佑,Qingmei Yu ,N,N
110,106,山东科技大学,SKD 45167,1,31,-,-,-,-,-,-,-,+2(11),-,-3,-2,-,50%,Honorable,张特尔,徐学辉,朱继涛,Zhenhuan Wu ,N,N
112,,澳门大学,nxVPCP 'or'1'='1,1,32,-,-,-,-,-,-,-,+2(12),-,-2,-4,-,50%,Honorable,LAO UN,Chan U Hun,ZHOU ZI MO,Zehan Lin ,N,N
113,108,中国石油大学北京克拉玛依校区,Good Luck！,1,33,-,-,-,-,-,-,-,+2(13),-,-,-8,-,50%,Honorable,董玉贤,梁博雅,刘东升,Hongming Hu ,N,N
114,109,上海大学,SegFault Maigo,1,34,-,-,-,-,-,-,-,+2(14),-,-2,-11,-,50%,Honorable,Xiahong Liu,Shiyi Zhang,Yanchao Min,Jun Shen ,N,N
115,,香港理工大学,The Midas Touch,1,36,-,-,-,-,-,-,-,+1(36),-,-,-3,-,0%,Honorable,Haochen Shi,黄敬博,薛腾,Junyao Wang ,N,N
116,110,昆明理工大学,I All Accepted,1,37,-,-,-,-,-,-,-,+2(17),-,-9,-,-,50%,Honorable,刘浩天,Kang Li,Yuxiang Lu,Xiaoli Zhang ,N,N
117,111,武汉工程大学,998244353,1,39,-,-,-,-,-,-,-,+2(19),-,-4,-3,-,50%,Honorable,李嘉欣,汪雅琪,王杨晶,Hanliang Guo ,N,N
118,112,河北工业大学,Mechanical Wings,1,40,-,-,-,-,-,-,-,+2(20),-,-4,-4,-,50%,Honorable,王若豪,赵子涵,黄文,Lukui Shi ,N,N
118,112,南阳理工学院,wawawawa...,1,40,-,-,-,-,-,-,-,+2(20),-,-9,-11,-,50%,Honorable,宋忱宪,任吉康,Hanxu Yao,Ke Chen ,N,N
120,114,New Mongol Institute of Technology,I-ACE,1,41,-,-,-,-,-,-,-,+2(21),-,-3,-3,-,50%,Honorable,Amarsaikhan Badamragchaa,Chingunjav Ariuntur,Enkhbaatar Bayarsaikhan,Iderbaatar Munkhuu ,N,N
120,114,Mongolian University of Science and Technology,sict3,1,41,-,-,-,-,-,-,-,+2(21),-,-7,-7,-,50%,Honorable,Munkhtur MUNKHBAGANA,Purevdorj TSERENPUNTSAG,Purev-Ochir BILGUUNTUGULDUR,Altangerel KHUDER ,N,N
122,116,深圳大学,SZU_OvO,1,43,-,-,-,-,-,-,-,+2(23),-,-12,-3,-,50%,Honorable,岑健锋,熊鑫辉,张楠,Xiaoling Luo ,N,N
123,117,江西农业大学,Can't solve it? Nap it away!,1,51,-,-,-,-,-,-,-,+2(31),-,-1,-2,-,50%,Honorable,Xinyao Huang,Zhengyuan Yu,Haiyu Wang,Hongtao Li ,N,N
124,118,西安电子科技大学,Cute Cat Dad,1,55,-,-,-,-,-,-,-,+2(35),-,-7,-5,-,50%,Honorable,高琦,薛思宇,顾梓骞,Shuping Zhang ,N,N
125,119,泰州学院,Long may the sun shine,1,59,-,-,-,-,-,-,-,+3(19),-,-1,-1,-,66%,Honorable,Ruoyan Wang,Zhichao Zhang,Yicong Yu,Yongliang Hu ,N,N
126,,香港浸会大学,HKBU_2,1,76,-,-,-,-,-,-,-,+3(36),-,-,-3,-,66%,Honorable,Timur Ten,方菲逸,郭家福,Xin Huang ,N,N
