Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
95,,南京大学,无桨小船,5,727,+3(243),,+1(154),,+1(49),,-1,,,,,+1(18),+3(183)
96,,中国科学院大学,赴京赶考,5,760,,,+1(65),,+1(86),,+3(203),,,,,+1(13),+6(253)
97,64,哈尔滨理工大学,哈理工05队,5,805,,,+1(53),,+2(94),,+7(286),,,,,+1(15),+3(177)
98,,中国矿业大学,嘟噜,5,877,-3,,+2(158),,+3(58),,+2(288),,,,,+2(45),+4(168)
99,,南京大学,咸鱼王,5,881,,,+3(135),,+2(148),,,+5(279),,,,+3(40),+1(99)
100,,电子科技大学,UESTC_刘大爷说的队,5,944,+1(272),,+1(63),,+2(97),,,,,,,+1(16),+10(296)
101,65,华南理工大学软件学院,苟·德川家康·薛定谔,5,955,+3(270),,+1(47),,+5(292),,,,,,,+1(12),+4(154)
102,66,河北工业大学,试剑,5,1025,-1,,+2(89),,+1(173),,+12(258),-4,,,,+1(13),+7(132)
103,67,浙江财经大学东方学院,新新月光,4,251,,,+2(49),,+1(66),,-9,,,,,+1(14),+1(102)
104,68,大连理工大学,奇点,4,256,,,+1(33),,+1(71),,-7,,,,,+2(13),+2(99)
105,69,华侨大学,华侨大学大师队,4,285,,,+1(42),,+1(69),,,,,,,+1(33),+1(141)
106,70,东北农业大学,蛋黄煎饼,4,304,,,+1(48),,+2(29),,-1,,,,,+1(17),+5(110)
107,,南京航空航天大学,争取废鱼变咸鱼,4,312,,,+1(54),,+1(103),,-6,,,,,+1(25),+1(130)
108,71,中国石油大学（北京）,罚吹流下了悔恨的泪水,4,318,,,+1(47),,+1(42),,-7,,,,,+1(20),+3(169)
109,72,中南民族大学,奉均衡之命,4,322,-1,,+2(54),,+1(93),,,,,,-1,+1(16),+3(99)
110,73,华中师范大学,暗黑佟大为,4,328,,,+1(67),,+2(94),,-5,,,,,+1(16),+2(111)
