Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
113,69,北京师范大学,多边狗,5,738,-,-1,-,-,-,+2(86),+1(8),-,+6(267),+2(188),-,+1(49),-,58%,Silver,姚述军,王思潮,丁余健,N,N
114,70,中国石油大学（华东）,茉莉雨,5,741,-,-,-,-,-,+1(213),+1(8),-,+1(262),+1(145),-,+3(73),-,28%,Silver,俞桐,尹瑞阳,庄坤鹏,N,N
115,71,河海大学,25时，在老年皮划艇打铁,5,742,-,-3,-,-,-,+2(212),+2(14),-,+2(188),+1(135),-,+3(93),-,50%,Silver,张天浩,杜泽恩,江建谕,N,N
116,72,湖北工业大学,小丑派对,5,750,-,-1,-,-,-1,+6(199),+1(7),-,+3(264),+1(85),-,+2(35),-1,61%,Silver,解哲曦,张忆周,梅子恒,N,N
117,73,华南师范大学,江南行者,5,756,-,-2,-,-,-,+1(207),+1(7),-,+4(155),+2(183),-,+3(84),-,54%,Silver,陈育瀚,蔡海鹏,李建新,N,N
118,74,长安大学,斑斓色彩,5,763,-,-,-,-,-,+1(228),+1(10),-,+2(139),+1(196),-,+5(90),-,50%,Silver,周乐恒,钱麦曲,胡艺瀚,N,N
119,75,宁波大学,时间紧任务重,5,763,-,-,-,-,-,+1(228),+1(6),-,+1(269),+1(147),-,+3(73),-,28%,Silver,赵翰韬,黄博翼,汪博,N,N
120,,哈尔滨工业大学,长崎不爽世,5,766,-,-2,-,-,-,+4(189),+1(7),-,+1(267),+2(175),-,+1(48),-,44%,Silver,杜宇丰,陈信帆,黎子川,N,N
121,,北京交通大学,交一发先,5,766,-,-,-,-,-,+4(184),+1(4),-,+2(283),+3(103),-,+2(52),-,58%,Bronze,刘泽晖,孙宁,王嘉胜,N,N
122,76,国防科技大学,刷题三天会做AC自动机,5,781,-,+6(226),-,-,-,+1(216),+1(6),-,-3,+1(195),-,+1(38),-,50%,Bronze,彭正圣,马艺洋,杨天鹏,N,N
123,77,东北大学秦皇岛分校,恋的零次方,5,814,-,-1,-,-,-,+2(187),+1(12),-,+4(250),+1(223),-,+2(42),-,50%,Bronze,李昌岳,陈奕晨,杨开元,N,N
124,,上海纽约大学,()不是回文,5,821,-,-,-,-,-,+2(167),+1(7),-,-5,+2(150),-,+4(100),+2(277),54%,Bronze,张乐楠,吕和睿,解丰羽,N,N
125,78,西南交通大学,题面的语言是不通的，打铁是不会报销的,5,834,-,-,-,-,-,+1(262),+1(12),-,+1(116),+3(190),-,+5(134),-,54%,Bronze,刘俊豪,陈义达,张景暄,N,N
