Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
101,86,浙江农林大学,这个彬彬交题超勇的,3,303,-,-,-2,-,+2(17),+2(63),-,-,-,+2(163),-,-5,-,50%,Honorable,倪铂涵,朱蕴仪,王健彬,N,N
102,87,天津工业大学,铜首无妻,3,315,-,-,-3,-,+1(18),+1(74),-,-,-,+4(163),-,-,-,50%,Honorable,姚一鸣,杨磊,郭梦贞,N,N
103,88,浙江工商大学,我必须参加ICPC西安邀请赛,3,316,-3,-,-,-,+1(17),+2(73),-,-,-,+2(186),-,-,-,40%,Honorable,汤英杰,许嘉俊,陈侠,N,N
104,89,福州大学,西南饺子馆,3,346,-5,-,+2(231),-,+1(22),+1(73),-,-,-,-7,-,-4,-,25%,Honorable,庄佳霖,邓宇凡,陈昊旸,N,N
105,90,湖北工业大学,Random(name),3,382,-,-,+1(278),-,+1(24),+2(60),-,-,-,-2,-,-,-,25%,Honorable,徐億祥,贺鑫宇,颜潇冉,N,N
106,91,中国计量大学,你所热爱的,3,386,-,-,+1(220),-,+1(12),+3(114),-,-,-,-10,-,-,-,40%,Honorable,张迅驰,梁孜祺,汪埕浩,N,N
107,92,安徽大学,融合巨怪,3,445,-,-,+1(241),-,+3(65),+1(99),-,-,-,-4,-,-5,-,40%,Honorable,常昊冉,罗欣然,闵烁,N,N
108,93,东北大学,东北大学_毒,3,449,-2,-,-,-,+1(7),+4(189),-,-,-,+3(153),-,-1,-,62%,Honorable,仝家驹,张帆,陈彦澍,N,N
109,94,北京师范大学,LMAO,3,458,-,-,-4,-,+1(15),+2(75),-,-,-,+7(228),-,-,-,70%,Honorable,何佳文,徐若翔,陈志锐,N,N
110,95,中国矿业大学,好似喵,3,498,-,-,-5,-,+1(17),+2(175),-,-,-,+3(246),-,-,-,50%,Honorable,唐腾宇,宋明潇,杨斌涵,N,N
111,96,青岛大学,第一替补,3,516,-,-,-5,-,+1(31),+4(184),-,-,-,+2(221),-,-,-,57%,Honorable,刘乐鹏,姜恒玉,韩明睿,N,N
112,97,武汉科技大学,典一份恒好喝的胡na汤,3,615,-,-,+4(230),-,+1(11),+3(274),-,-,-,-,-,-,-,62%,Honorable,孙煜恒,胡可欣,贾金,N,N
113,98,贵州大学,青春NovelAI不会梦到AlphaCode,3,733,-,-,-,-,+2(29),+3(180),-,-,-,+10(284),-,-,-,80%,Honorable,李东阳,肖焕,邓惠敏,N,N
114,99,大连理工大学,一带三,2,106,-,-,-,-,+2(17),+2(49),-,-,-,-10,-,-,-,50%,Honorable,侯硕伟,李雁志,葛俊辰,N,N
115,100,东北大学秦皇岛分校,NEUQ-SCJ,2,112,-2,-,-9,-,+1(10),+2(82),-,-,-,-,-,-,-,33%,Honorable,刘琛,胡鸿捷,袁茂恒,N,N
116,101,集美大学,集美大学3队,2,139,-,-,-,-,+2(25),+1(94),-,-,-,-28,-,-,-,33%,Honorable,姚远,陈伟盛,陈煜晗,N,N
117,102,金华职业技术学院,浙江机电职业技术学院二队,2,261,-,-,-9,-,+1(15),-5,-,-,-,+6(146),-,-,-,71%,Honorable,兰强强,温自成,褚茂誉,N,N
118,103,山东理工大学,章鱼小WA子,2,263,-,-,-,-,+1(23),+4(180),-,-,-,-2,-,-,-,60%,Honorable,孙美源,张森,潘清源,N,N
119,104,太原理工大学,最后的WA掘机,2,268,-,-,-1,-,+2(22),+6(126),-,-,-,-2,-,-1,-,75%,Honorable,桑坤,王文波,郭宇霄,N,N
120,105,南昌理工学院,几何分布,2,320,-,-,-1,-,+1(86),+2(214),-,-,-,-,-,-,-,33%,Honorable,余涛,杨欢欢,郑依婷,N,N
121,106,浙江金融职业学院,一切都是命运石之门的选择,2,379,-,-,-,-,+2(20),+9(179),-,-,-,-13,-,-,-,81%,Honorable,孔志杰,邓瑞琦,金汝霖,N,N
122,107,北京科技大学,北科老人团,2,410,-,-,-,-,+1(20),+7(270),-,-,-,-,-,-,-,75%,Honorable,刘彦铭,王诺贤,苏锦波,N,N
123,108,浙江育英职业技术学院,杨枝甘露没我甜,2,551,-,-,-,-,+1(57),+11(294),-,-,-,-,-,-,-,83%,Honorable,张翔杰,蒋婉斐,谢榕,N,N
124,109,深圳大学,Emanatry,1,30,-,-,-9,-,+2(10),-4,-,-,-,-6,-,-,-,50%,Honorable,张艺轩,杨熙全,郭泽森,N,N
125,110,四川信息职业技术学院,中山大学能不能给个录取通知书,1,40,-,-,-,-,+2(20),-7,-,-,-,-4,-,-,-,50%,Honorable,何平,刘睿超,谢天佑,N,N
126,111,嘉兴职业技术学院,潇洒走一回,1,135,-,-,-1,-,-9,+1(135),-,-,-,-,-,-,-,0%,Honorable,吴铭威,毛绮敏,王徐超,N,N
127,112,华北电力大学,受不了一点,1,354,-,-,-,-,-2,+4(294),-,-,-,-,-,-,-,75%,Honorable,王嘉滢,石睿,袁语欣,N,N
128,113,重庆对外经贸学院,三只菜狗,0,0,-,-,-,-,-18,-1,-,-,-,-,-,-,-,0%,Honorable,吴爱民,周先华,易发平,N,N
128,113,浙江安防职业技术学院,皇极经世,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,0%,Honorable,张路昀,陈忠富,顾光辉,N,N
