Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
187,110,电子科技大学中山学院,超级卡比呆猫在ICPC现场推广错误贪心,4,539,+2(157),+3(224),-,-,-,-,+1(26),-,-,+2(52),-,-2,-,50%,Bronze,谭昊,徐子希,雷旻屹,N,N
188,111,重庆科技大学,午后的茶时间,4,539,+6(112),-8,-,-,-,-,+2(24),-,-,+1(37),-,+1(246),-,60%,Bronze,廖章昊,代一,程琪淋,N,N
189,,天津大学,北洋水师pro max ultra ti,4,539,+1(60),-1,-,-,-,-,+1(13),-,-,+1(25),-,+9(281),-,66%,Bronze,韦德敏,刘清源,张纪同,N,N
190,,中南大学,老司机带带我,4,545,+5(97),-11,-,-,-,-,+1(26),-,-,+1(15),-,+4(267),-,63%,Bronze,吴子健,朱芝毅,林宇煌,N,N
191,,中国石油大学（华东）,UPC2011,4,553,+5(160),-,-,-,-,-,+2(32),-,-,+1(39),-,+1(222),-,55%,Bronze,赵海威,杨帮兴,郝铭宇,N,N
192,,吉林大学,夏日空调幻想时刻,4,558,+5(116),+1(290),-,-,-,-,+2(37),-,-,+1(15),-,-1,-,55%,Bronze,周浩宇,朱明昊,王福峥,N,N
193,112,西南科技大学,飘零之剑,4,563,-20,-,+2(261),-,-,-,+3(61),-,-,+1(52),-,+1(129),-,42%,Honorable,杜嘉瑜,石申圆,陈阳,N,N
194,,福州大学,风雪夜归人,4,572,+4(117),-2,-,-,-,-,+1(18),-,-,+2(28),-,+3(289),-,60%,Honorable,饶凯辰,官瑜,肖羽石,N,N
195,113,武汉工程大学,宿命天成命中败,4,576,+3(129),+1(271),-,-,-,-,+2(53),-,-,+1(63),-,-,-,42%,Honorable,廖圣羽,汤宇辉,李浩东,N,N
196,,上海大学,我们仍未知道那天金牌题的做法,4,578,+5(99),-3,-,-,-,-,+2(40),-,-,+1(25),-,+2(294),-,60%,Honorable,焦艺峰,蔡轩,董晨阳,N,N
197,114,郑州轻工业大学,二分最优解,4,584,+3(194),-,-,-,-,-,+2(32),-,-,+1(56),-,+2(222),-,50%,Honorable,夏高祥,栗闫恒,姬孟龙,N,N
198,,四川大学,loveless,4,593,+3(125),-1,-,+4(276),-,-,+1(15),-,-,+3(37),-,-1,-,63%,Honorable,吴卓航,潘运胜,刘雨彤,N,N
199,,哈尔滨工业大学（威海）,"WA,AC!",4,595,+7(131),-2,-2,-,-,-,+2(32),-,-,+4(30),-,+2(182),-,73%,Honorable,孙云起,尹瀚铭,王尧中,N,N
200,,上海大学,对对对,4,595,+8(270),-,-,-,-,-,+3(32),-,-,+1(42),-,+1(71),-,69%,Honorable,潘子扬,聂冬亮,吴宇辉,N,N
201,115,西安邮电大学,三带一对,4,637,+7(164),+1(253),-,-,-,-,+3(23),-,-,+1(37),-,-,-,66%,Honorable,罗浩,宫梓涵,赵旭东,N,N
