Rank,Medal,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
350,,湖南工业大学,取出名字就算成功,3,362,+1(40),,,,+1(91),,,,,+3(191),-11,,
351,,长沙理工大学,啪的一下又A了呀,3,365,+3(44),,,,+3(100),,,,,+3(101),-14,,
351,,宁波大学,"""技不如人,甘拜下风""",3,365,+3(41),,,,+3(104),,,,,+2(120),-12,,
353,,鲁东大学,永夜之光,3,370,+1(31),,,,+3(97),,,,,+4(142),-9,,
354,,潍坊学院,xx短发天下第一,3,372,+1(44),,,,+3(97),,,,,+3(151),-7,,
355,,河南大学,阳春白雪与碳,3,375,+2(40),,,,+3(97),,,,,+4(118),-7,,
355,,江西师范大学,一点也不会,3,375,+2(49),,,,+1(89),,,,,+3(177),-6,,
357,,桂林电子科技大学,你们带我打,3,380,+1(45),-1,,,+3(95),,,,,+3(160),-5,,
358,,南京大学金陵学院,你要打铁,3,382,+1(28),,,,+1(78),,,,,+3(236),-2,,
359,,湖南农业大学,铁匠师傅有bear来,3,395,+1(39),,,,+1(78),,,,,+5(198),-8,,
360,,中国传媒大学,三缺一,3,398,+4(72),,,,+2(65),,,,,+3(141),-3,,
361,,浙江机电职业技术学院,机电12WA,3,401,+3(58),,,,+5(144),,,,,+1(79),-6,,
362,,广州大学,火树琪花,3,402,+3(36),,,,+2(129),,,,,+4(117),,,
363,,宁波大学,这不是人均算法嘛,3,405,+3(37),,,,+5(132),,,,,+2(96),-6,,
363,,西南科技大学,Z.D.R,3,405,+1(29),,,,+4(155),,,,,+4(101),-5,,
365,,江西财经大学,不如跳舞,3,407,+3(92),,-1,,+3(98),,,,,+1(137),,,
366,,西南石油大学（南充校区）,TLE了怎么办,3,411,+2(106),,,,+3(140),,,,,+2(85),-10,,
367,,中国矿业大学,FFFFCU,3,416,+1(39),,,-6,+1(117),,,,,+7(140),-5,,
367,,武汉纺织大学,AC钙奶,3,416,+3(69),,,,+1(141),,,,,+3(126),-2,,
369,,贵州大学,标标的宇宙飞船,3,429,+1(31),,,,+4(131),,,,,+3(167),-3,,
370,,常熟理工学院,Deadline抛光机,3,432,+1(57),,,,+2(105),,,,,+5(170),-5,,
370,,西北工业大学,黑沙迷魂手队,3,432,+1(47),,,,+1(87),,,,,+4(238),-4,,
372,,三峡大学,三大队一组,3,435,+1(21),-1,,,+3(106),,,,,+5(188),-6,,
373,,西北农林科技大学,米奇喵喵屋,3,437,+3(58),,,,+1(109),,,,,+5(150),-6,,
373,,武汉工程大学,三泉映月,3,437,+4(154),,,,+1(81),,,,,+2(122),-5,,
375,,长春工业大学,ru ying ru xiang,3,445,+1(47),,,,+4(157),,,,,+2(161),-3,,
375,,中国石油大学,绽放,3,445,+3(152),,,,+1(44),,,,,+2(189),-20,,
377,,中国计量大学,暴力出奇迹,3,451,+3(52),,,,+4(144),,,,,+3(115),-6,,
377,,西南民族大学,奥利奥力给利奥,3,451,+2(61),,,,+6(172),,,,,+1(98),-5,,
379,,西南科技大学,烤羊腿真的香,3,452,+4(48),,,,+2(122),,,,,+3(162),-8,,
380,,兰州理工大学,全体起立奏国歌,3,459,+1(25),,,,+6(147),,,,,+4(127),-5,,
381,,湖北工业大学,AC自动机fail树上dfs序建可持久化线段树,3,461,+3(99),,,-3,+4(114),,,,,+2(128),-11,,
382,,广东技术师范大学,广度多重可持久化Debug神经网络,3,479,+2(44),-1,,,+5(208),,,,,+2(107),-9,,
383,,河南大学,菜鸟互助,3,487,+2(40),,,,+6(151),,,,,+1(176),-1,,
384,,华中农业大学,外星人？,3,491,+2(21),,,,+2(55),,,,,+6(275),-5,,
385,,河海大学,14C,3,492,+1(22),,,,+1(104),,,,,+6(266),-4,,
