Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
116,79,广西大学,火箭队,4,311,-,-,+1(15),-6,-,-,+3(32),+1(58),-,-1,-,-,+2(146),42%,Bronze,张可,武成志,陈松盛,N,N
117,80,西北大学,如果 acm 需要鼓励的话,4,312,-1,-,+1(20),-,-,-,+1(32),+2(90),-,-,-1,-,+1(150),20%,Bronze,刘锦堃,李国航,田朕铭,N,N
117,,浙江工业大学,ZJUT12,4,312,-6,-,+1(24),-,-,-,+1(47),+1(71),-,-,-,-,+1(170),0%,Bronze,包林鑫,朱锦,陆徐豪,N,N
119,,天津大学,背着队友偷偷 A 题,4,313,-1,-,+2(43),-,-,-,+2(19),+1(151),-,-,-,-,+1(60),33%,Bronze,刘汶铮,安外尔艾力西尔,陈曦,N,N
120,81,湖南农业大学,莱茵之诗,4,316,-5,-,+1(27),-,-,-,+1(43),+2(65),-,-,-,-,+1(161),20%,Bronze,刘嘉诚,王溪超,黎锦阳,N,N
121,82,中国计量大学,fufu 吃大米,4,322,-4,-,+1(30),-,-,-,+1(43),+1(69),-,-,-,-,+1(180),0%,Bronze,刘昕,裴君辉,金晖,N,N
122,83,哈尔滨工业大学（威海）,帅比队长在线征婚,4,324,-2,-,+1(28),-4,-,-,+1(37),+2(103),-,-,-,-,+1(136),20%,Bronze,戚煜,曹瑞宁,解裕懋,N,N
123,84,烟台大学,伊丽莎白,4,326,-1,-,+1(25),-,-,-,+1(40),+2(86),-,-,-,-,+2(135),33%,Bronze,伍远毅,俞传洲,徐振祥,N,N
123,,哈尔滨工业大学,队名怎么说,4,326,-,-,+1(22),-,-,-,+3(43),+1(63),-,-,-,-,+2(138),42%,Bronze,叶程鹏,师乐天,陈旭坤,N,N
125,85,浙江中医药大学,ZCMU-今天喝黄桃果霸,4,330,-9,-,+1(25),-,-,-,+2(46),+2(123),-,-,-1,-,+1(96),33%,Bronze,卢昕怡,景舒楠,钟晓芸,N,N
126,86,郑州轻工业大学,分个序，排个块,4,331,-,-,+1(24),-,-,-,+2(43),+1(154),-,-,-,-,+1(90),20%,Bronze,孙泽国,张一泽,王家琪,N,N
126,,西北大学,摸鱼读假题写 bug 演队友,4,331,-4,-,+1(24),-,-,-,+1(35),+2(63),-,-,-31,-,+1(189),20%,Bronze,何春林,施景阳,王平,N,N
128,,国防科技大学,终极规律号,4,339,-8,-,+1(35),-,-,-,+1(45),+1(185),-,-,-,-,+1(74),0%,Bronze,李剑锋,李天豪,李鑫鹏,N,N
129,,国防科技大学,湘江后浪,4,340,-1,-,+1(30),-,-5,-,+2(66),+1(104),-,-,-,-,+2(100),33%,Bronze,刘亚鹏,孙晓帆,陈昱达,N,N
130,87,河南农业大学,比赛当天你在哪儿？有空吗？能来拯救吗？无所谓，我会出手！,4,341,-2,-,+1(34),-5,-,-,+2(60),+1(130),-,-,-,-,+1(97),20%,Bronze,张潇,李云涛,熊梦轩,N,N
131,,北京交通大学,届不到的 AC,4,346,-2,-1,+1(27),-,-,-,+2(42),+1(89),-,-,-,-,+1(168),20%,Bronze,杨致远,王麒皓,邵天语,N,N
132,88,哈尔滨理工大学,哈理工 06 队,4,349,-12,-,+1(34),-,-,-,+1(48),+1(96),-,-,-,-,+1(171),0%,Bronze,林浩,沈锦轩,陈圻昇,N,N
133,,东北大学秦皇岛分校,格式错误,4,354,-1,-,+1(18),-,-,-,+3(49),+1(66),-,-,-14,-,+2(161),42%,Bronze,吴一玄,曹立菲,罗潇阳,N,N
134,,长春理工大学,魏 龙 神 正 名,4,355,-5,-,+1(18),-,-,-,+3(40),+2(65),-,-,-,-,+2(152),50%,Bronze,任鑫,铁博文,魏龙飞,N,N
135,,电子科技大学,UESTC_Betacode,4,356,-4,-,+2(27),-,-4,-,+1(40),+1(69),-,-5,-,-,+4(140),50%,Bronze,张能,李欣朋,汪语桐,N,N
135,,四川大学,早八 208,4,356,-5,-,+1(28),-,-,-,+1(39),+2(172),-,-,-,-,+1(97),20%,Bronze,周钰翔,罗鑫,韩子毅,N,N
137,89,江苏大学,闪耀之所在,4,361,-,-,+1(27),-1,-,-,+1(78),+1(164),-,-,-,-,+1(92),0%,Bronze,姜辰,林海昊,田野,N,N
137,,浙江农林大学,这个彬彬交题超勇的,4,361,-,-,+1(24),-7,-,-,+1(32),+1(66),-,-,-,-,+3(199),33%,Bronze,倪铂涵,朱蕴仪,王健彬,N,N
